year,exam,grade_bucket,human_pct,human_mean_source,pooled_ensemble_pct,students,item_count,multimodal_share,associated_image_share,option_image_share,model_pct__anthropic-claude-sonnet-4.5,model_pct__openai-gpt-5,model_pct__qwen-qwen3-vl-235b-a22b-thinking,model_pct__x-ai-grok-4-fast,model_pct__ensemble
2014,7-8,Grade 7-8,42.59697491406006,reported,87.91666666666667,175995,30,0.43333333333333335,0.43333333333333335,0.03333333333333333,79.16666666666667,93.33333333333333,88.33333333333333,90.83333333333333,87.91666666666667
2015,7-8,Grade 7-8,45.116503751641915,reported,81.08333333333333,163173,30,0.4,0.3333333333333333,0.1,64.16666666666667,96.66666666666667,85.0,78.5,81.08333333333333
2016,7-8,Grade 7-8,45.11095415547275,reported,84.66666666666667,161546,30,0.5,0.4666666666666667,0.16666666666666666,73.33333333333333,93.83333333333333,87.5,84.0,84.66666666666667
2017,7-8,Grade 7-8,39.42066863299231,reported,82.04166666666667,162062,30,0.5,0.5,0.06666666666666667,64.16666666666667,93.33333333333333,83.33333333333333,87.33333333333333,82.04166666666667
2018,7-8,Grade 7-8,41.25237817461064,reported,86.91666666666667,159429,30,0.5333333333333333,0.5,0.03333333333333333,85.0,90.83333333333333,90.0,81.83333333333333,86.91666666666667
2019,7-8,Grade 7-8,47.94793796256556,reported,76.91666666666667,165427,30,0.5,0.4,0.16666666666666666,72.5,81.33333333333333,85.0,68.83333333333333,76.91666666666667
2022,7-8,Grade 7-8,38.343845458006335,reported,82.95833333333333,95439,30,0.6666666666666666,0.6,0.06666666666666667,78.33333333333333,87.16666666666667,83.33333333333333,83.0,82.95833333333333
2023,7-8,Grade 7-8,42.60866484786886,reported,83.08333333333333,112162,30,0.6333333333333333,0.6,0.16666666666666666,75.83333333333333,86.83333333333333,87.5,82.16666666666667,83.08333333333333
2024,7-8,Grade 7-8,40.108356903484264,reported,83.875,113491,30,0.7,0.7,0.1,63.333333333333336,96.66666666666667,90.0,85.5,83.875
2025,7-8,Grade 7-8,49.15225415927291,reported,87.04166666666667,111017,30,0.7,0.6333333333333333,0.1,80.83333333333333,93.33333333333333,95.83333333333333,78.16666666666667,87.04166666666667
2001,9-10,Grade 9-10,32.4921166775103,histogram,92.83333333333333,15370,29,0.27586206896551724,0.27586206896551724,0.0,90.0,100.0,88.33333333333333,93.0,92.83333333333333
2002,9-10,Grade 9-10,35.60223637232578,histogram,82.29166666666667,23714,30,0.26666666666666666,0.26666666666666666,0.0,71.33333333333333,93.5,88.33333333333333,76.0,82.29166666666667
2003,9-10,Grade 9-10,33.058503297972585,histogram,94.29166666666667,32899,30,0.3333333333333333,0.3333333333333333,0.03333333333333333,81.66666666666667,100.0,97.5,98.0,94.29166666666667
2004,9-10,Grade 9-10,33.6969002306805,histogram,89.5,42772,30,0.4,0.4,0.03333333333333333,85.0,96.66666666666667,92.5,83.83333333333333,89.5
2005,9-10,Grade 9-10,36.81092095458803,histogram,85.125,48761,30,0.3333333333333333,0.3333333333333333,0.0,77.5,85.83333333333333,86.66666666666667,90.5,85.125
2006,9-10,Grade 9-10,36.444238062944265,histogram,90.75,66355,30,0.3,0.3,0.0,76.33333333333333,96.66666666666667,100.0,90.0,90.75
2007,9-10,Grade 9-10,37.719537263062406,histogram,94.625,74967,30,0.36666666666666664,0.36666666666666664,0.03333333333333333,90.83333333333333,97.5,100.0,90.16666666666667,94.625
2008,9-10,Grade 9-10,37.85465716858907,histogram,72.54166666666667,92159,30,0.4666666666666667,0.4666666666666667,0.03333333333333333,59.166666666666664,84.0,67.5,79.5,72.54166666666667
2009,9-10,Grade 9-10,33.29901961850096,histogram,91.54166666666667,91988,30,0.26666666666666666,0.23333333333333334,0.03333333333333333,81.33333333333333,94.16666666666667,93.33333333333333,97.33333333333333,91.54166666666667
2010,9-10,Grade 9-10,42.8540962565191,histogram,85.66666666666667,86221,30,0.4666666666666667,0.43333333333333335,0.03333333333333333,81.66666666666667,90.83333333333333,86.66666666666667,83.5,85.66666666666667
2011,9-10,Grade 9-10,39.082140387883044,histogram,77.29166666666667,85335,30,0.4,0.36666666666666664,0.1,70.83333333333333,81.66666666666667,75.83333333333333,80.83333333333333,77.29166666666667
2012,9-10,Grade 9-10,41.54715104036154,histogram,91.625,75823,30,0.3,0.3,0.06666666666666667,83.16666666666667,93.33333333333333,100.0,90.0,91.625
2013,9-10,Grade 9-10,42.56726546906188,reported,90.79166666666667,76653,30,0.36666666666666664,0.36666666666666664,0.06666666666666667,87.5,93.33333333333333,90.0,92.33333333333333,90.79166666666667
2014,9-10,Grade 9-10,37.25599224904167,reported,89.16666666666667,79130,30,0.3333333333333333,0.3333333333333333,0.0,79.16666666666667,95.83333333333333,93.33333333333333,88.33333333333333,89.16666666666667
2015,9-10,Grade 9-10,42.38126682480267,reported,88.08333333333333,72933,30,0.4,0.36666666666666664,0.03333333333333333,71.66666666666667,96.66666666666667,91.66666666666667,92.33333333333333,88.08333333333333
2016,9-10,Grade 9-10,42.02554474708171,reported,87.0,71960,30,0.3333333333333333,0.3333333333333333,0.03333333333333333,75.0,93.33333333333333,90.0,89.66666666666667,87.0
2017,9-10,Grade 9-10,40.219086254698844,reported,84.79166666666667,78388,30,0.5,0.4666666666666667,0.1,75.0,97.5,83.33333333333333,83.33333333333333,84.79166666666667
2018,9-10,Grade 9-10,41.05070464493871,reported,86.54166666666667,69373,30,0.36666666666666664,0.3333333333333333,0.06666666666666667,85.83333333333333,95.5,82.5,82.33333333333333,86.54166666666667
2019,9-10,Grade 9-10,43.12355149018874,reported,77.75,74778,30,0.4666666666666667,0.3333333333333333,0.16666666666666666,72.5,78.83333333333333,83.33333333333333,76.33333333333333,77.75
2022,9-10,Grade 9-10,41.96850763807286,reported,80.41666666666667,40848,30,0.5666666666666667,0.5333333333333333,0.06666666666666667,70.0,87.16666666666667,83.33333333333333,81.16666666666667,80.41666666666667
2023,9-10,Grade 9-10,39.835928995377586,reported,81.16666666666667,48748,30,0.5,0.4,0.1,75.0,90.0,83.33333333333333,76.33333333333333,81.16666666666667
2024,9-10,Grade 9-10,43.956787312665355,reported,89.79166666666667,46997,30,0.5333333333333333,0.5,0.03333333333333333,70.83333333333333,97.5,97.5,93.33333333333333,89.79166666666667
2025,9-10,Grade 9-10,43.558611862582545,reported,84.25,45836,30,0.5666666666666667,0.4666666666666667,0.1,79.16666666666667,92.16666666666667,85.83333333333333,79.83333333333333,84.25
2001,11-13,Grade 11-13,32.23825047751794,histogram,92.20833333333333,6457,30,0.26666666666666666,0.26666666666666666,0.0,89.16666666666667,100.0,95.83333333333333,83.83333333333333,92.20833333333333
2002,11-13,Grade 11-13,34.24289827959356,histogram,95.20833333333333,9087,30,0.3,0.3,0.03333333333333333,86.66666666666667,100.0,100.0,94.16666666666667,95.20833333333333
2003,11-13,Grade 11-13,30.880359236755144,histogram,88.375,12508,30,0.36666666666666664,0.36666666666666664,0.06666666666666667,69.0,97.5,95.0,92.0,88.375
2004,11-13,Grade 11-13,30.77768311102602,histogram,86.04166666666667,15669,30,0.3333333333333333,0.3,0.03333333333333333,77.5,100.0,86.66666666666667,80.0,86.04166666666667
2005,11-13,Grade 11-13,39.28501975370907,histogram,88.375,15862,30,0.36666666666666664,0.36666666666666664,0.06666666666666667,84.16666666666667,92.5,89.16666666666667,87.66666666666667,88.375
2006,11-13,Grade 11-13,37.61232329578603,histogram,91.41666666666667,22283,30,0.4,0.4,0.0,89.16666666666667,93.33333333333333,95.83333333333333,87.33333333333333,91.41666666666667
2007,11-13,Grade 11-13,35.48774738108225,histogram,90.29166666666667,23833,30,0.3,0.23333333333333334,0.06666666666666667,85.83333333333333,92.33333333333333,95.0,88.0,90.29166666666667
2008,11-13,Grade 11-13,36.131920691385055,histogram,83.29166666666667,29236,30,0.36666666666666664,0.36666666666666664,0.0,77.5,85.0,84.16666666666667,86.5,83.29166666666667
2009,11-13,Grade 11-13,35.93055061535178,histogram,90.70833333333333,28114,30,0.36666666666666664,0.36666666666666664,0.03333333333333333,90.0,94.66666666666667,94.16666666666667,84.0,90.70833333333333
2010,11-13,Grade 11-13,38.48705884967553,histogram,86.41666666666667,22498,30,0.43333333333333335,0.4,0.03333333333333333,75.0,93.16666666666667,92.5,85.0,86.41666666666667
2011,11-13,Grade 11-13,38.55315173824132,histogram,89.91666666666667,20375,30,0.3333333333333333,0.3333333333333333,0.03333333333333333,80.0,90.83333333333333,95.83333333333333,93.0,89.91666666666667
2012,11-13,Grade 11-13,44.82006419201786,histogram,83.29166666666667,17915,30,0.36666666666666664,0.36666666666666664,0.06666666666666667,75.5,91.66666666666667,80.0,86.0,83.29166666666667
2013,11-13,Grade 11-13,42.94747608341047,reported,86.58333333333333,15122,30,0.36666666666666664,0.3,0.13333333333333333,70.83333333333333,96.66666666666667,92.5,86.33333333333333,86.58333333333333
2014,11-13,Grade 11-13,41.904646924007004,reported,90.0,18471,30,0.3,0.3,0.0,80.83333333333333,95.83333333333333,95.83333333333333,87.5,90.0
2015,11-13,Grade 11-13,44.432642167114835,reported,86.25,16735,30,0.36666666666666664,0.36666666666666664,0.06666666666666667,80.0,95.83333333333333,85.0,84.16666666666667,86.25
2016,11-13,Grade 11-13,42.25120905430406,reported,85.83333333333333,15315,30,0.4,0.36666666666666664,0.1,77.5,84.66666666666667,91.66666666666667,89.5,85.83333333333333
2017,11-13,Grade 11-13,41.91448839452926,reported,87.16666666666667,17621,30,0.43333333333333335,0.36666666666666664,0.1,72.5,95.5,89.16666666666667,91.5,87.16666666666667
2018,11-13,Grade 11-13,45.43040935672515,reported,92.5,18468,30,0.36666666666666664,0.36666666666666664,0.06666666666666667,93.33333333333333,97.5,93.33333333333333,85.83333333333333,92.5
2019,11-13,Grade 11-13,44.03741035360276,reported,84.125,18731,30,0.43333333333333335,0.3333333333333333,0.13333333333333333,78.16666666666667,88.83333333333333,88.33333333333333,81.16666666666667,84.125
2022,11-13,Grade 11-13,45.7479171877171,reported,77.25,11995,30,0.5333333333333333,0.5333333333333333,0.1,59.166666666666664,83.33333333333333,84.16666666666667,82.33333333333333,77.25
2023,11-13,Grade 11-13,38.291767666732895,reported,73.45833333333333,15099,30,0.5,0.4666666666666667,0.06666666666666667,56.666666666666664,86.66666666666667,79.16666666666667,71.33333333333333,73.45833333333333
2024,11-13,Grade 11-13,37.923934591194964,reported,82.83333333333333,13250,30,0.4666666666666667,0.43333333333333335,0.06666666666666667,75.83333333333333,91.5,84.16666666666667,79.83333333333333,82.83333333333333
2025,11-13,Grade 11-13,42.885772991036156,reported,83.70833333333333,14763,30,0.6,0.5666666666666667,0.1,80.0,84.66666666666667,86.66666666666667,83.5,83.70833333333333
